"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
668638;2025-03-21;"sexta-feira";"11:30:00";"BA";101;906;"IBIRAPUA";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Curva";"Não";1;0;1;0;0;0;1;1;-17,75072261;-39,76275355;"SPRF-BA";"DEL09-BA";"UOP02-DEL09-BA"
668639;2025-03-21;"sexta-feira";"14:45:00";"PE";101;50,3;"ABREU E LIMA";"Ausência de sinalização";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Sim";2;0;1;0;1;0;1;2;-7,91241959;-34,90018845;"SPRF-PE";"DEL01-PE";"UOP02-DEL01-PE"
668641;2025-03-21;"sexta-feira";"14:20:00";"PE";232;65,6;"GRAVATA";"Demais falhas mecânicas ou elétricas";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Curva;Aclive";"Não";2;0;2;0;0;0;2;1;-8,167443;-35,453125;"SPRF-PE";"DEL02-PE";"UOP02-DEL02PE"
668642;2025-03-21;"sexta-feira";"12:25:00";"MG";381;851;"POUSO ALEGRE";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Sem Vítimas";"Pleno dia";"Crescente";"Sol";"Dupla";"Reta";"Não";2;0;0;0;2;0;0;2;-22,3973956;-45,9599581;"SPRF-MG";"DEL16-MG";"UOP01-DEL16-MG"
668643;2025-03-21;"sexta-feira";"14:45:00";"RS";116;376;"CAMAQUA";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";1;0;1;0;0;0;1;1;-30,7605773;-51,6437512;"SPRF-RS";"DEL02-RS";"UOP02-DEL02-RS"
668645;2025-03-21;"sexta-feira";"13:30:00";"PB";101;83;"BAYEUX";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";3;0;0;0;3;0;0;2;-7,13479;-34,928513;"SPRF-PB";"DEL01-PB";"UOP01-DEL01-PB"
668646;2025-03-21;"sexta-feira";"15:20:00";"SC";101;210;"SAO JOSE";"Objeto estático sobre o leito carroçável";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Múltipla";"Reta";"Sim";2;0;1;0;0;1;1;2;-27,617583;-48,647212;"SPRF-SC";"DEL01-SC";"UOP01-DEL01-SC"
668648;2025-03-21;"sexta-feira";"14:10:00";"SP";381;84;"SAO PAULO";"Ausência de reação do condutor";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";1;0;0;1;0;0;1;1;-23,44943674;-46,56989694;"SPRF-SP";"DEL03-SP";"UOP01-DEL03-SP"
668649;2025-03-21;"sexta-feira";"15:35:00";"RS";392;150;"CANGUCU";"Velocidade Incompatível";"Capotamento";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";1;0;0;0;1;0;0;1;-31,17609105;-52,84337997;"SPRF-RS";"DEL07-RS";"UOP01-DEL07-RS"
668650;2025-03-21;"sexta-feira";"15:30:00";"CE";116;42;"HORIZONTE";"Conversão proibida";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";3;0;1;1;1;0;2;2;-4,1107073;-38,4919471;"SPRF-CE";"DEL01-CE";"UOP02-DEL01-CE"
