id;ano;feriado;mes;data_inversa;uf;br;km;municipio;causa_acidente;classificacao_acidente;veiculos;condicao_metereologica;fase_dia;dia_semana;tipo_acidente;tipo_pista;mortos;feridos_graves;latitude;longitude;status;regiao;periodo;palavras_filtradas;lemma;normalizado;Topic;Top Terms;Categoria
590142;2024.0;n;3.0;2024-03-27;GO;153;500;GOIANIA;Manobra de mudança de faixa;Sem Vítimas;2;Garoa/Chuvisco;Anoitecer;quarta-feira;Colisão lateral mesmo sentido;Dupla;0;0;-16.7118;-49.2324;Segura;Centro-Oeste;1 Trimestre;manobra mudança faixa;manobra mudança faixa;manobra mudança faixa;1;cruzamento, preferência, desrespeitar, trafegar, similar, motocicleta, freio, mudança, manobra, faixa;Infração de Trânsito
654685;2025.0;n;1.0;2025-01-12;BA;116;242;QUIJINGUE;Acostamento em desnível;Com Vítimas Feridas;2;Nublado;Pleno dia;domingo;Saída de leito carroçável;Simples;0;0;-10,71037475;-38,92531448;Segura;Nordeste;1 Trimestre;acostamento desnível;acostamento desnível;acostamento desnível;4;pneu, desgast, avaria, excessivo, animai, andava, acostamento, pista, contramão, transitar;Manobra imprudente condutor
605657;2024.0;n;6.0;2024-06-07;RS;290;80;GRAVATAI;Condutor Dormindo;Sem Vítimas;2;Céu Claro;Plena Noite;sexta-feira;Colisão lateral mesmo sentido;Dupla;0;0;-29.95343;-51.058449;Segura;Sul;2 Trimestre;condutor dormindo;condutor dormindo;condutor dormindo;2;carga, súbito, chuva, mal, álcool, ingestão, indevida, ultrapassagem, condutor, dormindo;Condutor sob efeitos de substâncias
622798;2024.0;n;8.0;2024-08-22;RS;386;151,6;ALMIRANTE TAMANDARE DO SUL;Acessar a via sem observar a presença dos outros veículos;Com Vítimas Fatais;3;Céu Claro;Amanhecer;quinta-feira;Colisão transversal;Simples;1;0;-28.08919;-52.867329;Perigosa;Sul;3 Trimestre;acessar via observar presença outros veículos;acessar via observar presença outros veículos;acessar via observar presença outro veículo;3;presença, acessar, outro, observar, mecânica, elétrica, via, demai, falha, veículo;Problema mecânico no veículo
616732;2024.0;n;3.0;2024-03-28;BA;110;85;JEREMOABO;Condutor Dormindo;Com Vítimas Feridas;5;Céu Claro;Plena Noite;quinta-feira;Colisão lateral sentido oposto;Simples;0;0;-10.16830091;-38.27897047;Segura;Nordeste;1 Trimestre;condutor dormindo;condutor dormindo;condutor dormindo;2;carga, súbito, chuva, mal, álcool, ingestão, indevida, ultrapassagem, condutor, dormindo;Condutor sob efeitos de substâncias
629844;2024.0;n;9.0;2024-09-22;ES;262;75,8;DOMINGOS MARTINS;Velocidade Incompatível;Com Vítimas Feridas;2;Céu Claro;Pleno dia;domingo;Tombamento;Simples;0;1;-20.41504648;-40.90256283;Perigosa;Sudeste;3 Trimestre;velocidade incompatível;velocidade incompatível;velocidad incompatível;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
673700;2025.0;n;2.0;2025-02-21;MG;381;2;BETIM;Ausência de reação do condutor;Com Vítimas Feridas;2;Céu Claro;Pleno dia;sexta-feira;Saída de leito carroçável;Dupla;0;0;-19,98967868;-44,1898831;Segura;Sudeste;1 Trimestre;ausência reação condutor;ausência reação condutor;ausência reação condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
620294;2024.0;n;8.0;2024-08-10;MG;40;502,2;ESMERALDAS;Transitar no Acostamento;Com Vítimas Fatais;3;Céu Claro;Amanhecer;sábado;Colisão com objeto;Dupla;1;0;-19.714002;-44.160929;Perigosa;Sudeste;3 Trimestre;transitar acostamento;transitar acostamento;transitar acostamento;4;pneu, desgast, avaria, excessivo, animai, andava, acostamento, pista, contramão, transitar;Manobra imprudente condutor
582634;2024.0;n;2.0;2024-02-22;RS;392;349;SANTA MARIA;Demais falhas mecânicas ou elétricas;Com Vítimas Feridas;1;Céu Claro;Pleno dia;quinta-feira;Eventos atípicos;Dupla;0;1;-29.74276702;-53.79342377;Perigosa;Sul;1 Trimestre;demais falhas mecânicas elétricas;demais falhas mecânicas elétricas;demai falha mecânica elétrica;3;presença, acessar, outro, observar, mecânica, elétrica, via, demai, falha, veículo;Problema mecânico no veículo
664881;2025.0;n;3.0;2025-03-03;PR;116;136;MANDIRITUBA;Reação tardia ou ineficiente do condutor;Com Vítimas Feridas;3;Nevoeiro/Neblina;Plena Noite;segunda-feira;Colisão traseira;Dupla;0;0;-25,72777117;-49,31774139;Segura;Sul;1 Trimestre;reação tardia ineficiente condutor;reação tardia ineficiente condutor;reação tardia ineficient condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
625474;2024.0;n;9.0;2024-09-03;MG;356;264;MURIAE;Ausência de reação do condutor;Com Vítimas Feridas;2;Céu Claro;Pleno dia;terça-feira;Colisão traseira;Simples;0;0;-21.12552649;-42.37547729;Segura;Sudeste;3 Trimestre;ausência reação condutor;ausência reação condutor;ausência reação condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
595906;2024.0;n;4.0;2024-04-23;GO;50;275,3;CATALAO;Velocidade Incompatível;Com Vítimas Feridas;2;Céu Claro;Plena Noite;terça-feira;Saída de leito carroçável;Simples;0;0;-18.1483;-47.907;Segura;Centro-Oeste;2 Trimestre;velocidade incompatível;velocidade incompatível;velocidad incompatível;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
598812;2024.0;n;5.0;2024-05-07;MG;40;797;JUIZ DE FORA;Mal súbito do condutor;Com Vítimas Feridas;2;Céu Claro;Pleno dia;terça-feira;Colisão traseira;Múltipla;0;0;-21.81520106;-43.38621008;Segura;Sudeste;2 Trimestre;mal súbito condutor;mal súbito condutor;mal súbito condutor;2;carga, súbito, chuva, mal, álcool, ingestão, indevida, ultrapassagem, condutor, dormindo;Condutor sob efeitos de substâncias
602908;2024.0;n;5.0;2024-05-25;RS;290;92;PORTO ALEGRE;Acesso irregular;Com Vítimas Feridas;2;Céu Claro;Pleno dia;sábado;Colisão transversal;Dupla;0;0;-29.971916;-51.176838;Segura;Sul;2 Trimestre;acesso irregular;acesso irregular;acesso irregular;2;carga, súbito, chuva, mal, álcool, ingestão, indevida, ultrapassagem, condutor, dormindo;Condutor sob efeitos de substâncias
653107;2025.0;n;1.0;2025-01-04;RJ;116;198;QUEIMADOS;Reação tardia ou ineficiente do condutor;Com Vítimas Feridas;2;Sol;Pleno dia;sábado;Colisão traseira;Dupla;0;0;-22,72952183;-43,57481597;Segura;Sudeste;1 Trimestre;reação tardia ineficiente condutor;reação tardia ineficiente condutor;reação tardia ineficient condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
603546;2024.0;n;5.0;2024-05-27;BA;110;310;INHAMBUPE;Carga excessiva e/ou mal acondicionada;Sem Vítimas;2;Céu Claro;Anoitecer;segunda-feira;Derramamento de carga;Simples;0;0;-11.954184;-38.371199;Segura;Nordeste;2 Trimestre;carga excessiva mal acondicionada;carga excessiva mal acondicionada;carga excessiva mal acondicionada;2;carga, súbito, chuva, mal, álcool, ingestão, indevida, ultrapassagem, condutor, dormindo;Condutor sob efeitos de substâncias
670005;2025.0;n;3.0;2025-03-28;BA;116;18;VITORIA DA CONQUISTA;Acessar a via sem observar a presença dos outros veículos;Com Vítimas Feridas;3;Céu Claro;Pleno dia;sexta-feira;Colisão transversal;Simples;0;1;-14,95101356;-40,80479516;Perigosa;Nordeste;1 Trimestre;acessar via observar presença outros veículos;acessar via observar presença outros veículos;acessar via observar presença outro veículo;3;presença, acessar, outro, observar, mecânica, elétrica, via, demai, falha, veículo;Problema mecânico no veículo
673419;2025.0;n;4.0;2025-04-08;BA;101;895;CARAVELAS;Ingestão de álcool pelo condutor;Com Vítimas Feridas;3;Chuva;Plena Noite;terça-feira;Colisão frontal;Simples;0;0;-17,688271;-39,773173;Segura;Nordeste;2 Trimestre;ingestão álcool condutor;ingestão álcool condutor;ingestão álcool condutor;2;carga, súbito, chuva, mal, álcool, ingestão, indevida, ultrapassagem, condutor, dormindo;Condutor sob efeitos de substâncias
575178;2024.0;n;1.0;2024-01-16;MG;262;479,8;BOM DESPACHO;Reação tardia ou ineficiente do condutor;Com Vítimas Feridas;2;Sol;Pleno dia;terça-feira;Colisão frontal;Simples;0;0;-19.78628062;-45.23887303;Segura;Sudeste;1 Trimestre;reação tardia ineficiente condutor;reação tardia ineficiente condutor;reação tardia ineficient condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
579398;2024.0;n;2.0;2024-02-06;RN;101;97,9;NATAL;Acumulo de areia ou detritos sobre o pavimento;Com Vítimas Feridas;2;Céu Claro;Pleno dia;terça-feira;Colisão traseira;Múltipla;0;0;-5.85758898;-35.21271205;Segura;Nordeste;1 Trimestre;acumulo areia detritos sobre pavimento;acumulo areia detritos sobre pavimento;acumulo areia detrito sobr pavimento;2;carga, súbito, chuva, mal, álcool, ingestão, indevida, ultrapassagem, condutor, dormindo;Condutor sob efeitos de substâncias
583071;2024.0;n;2.0;2024-02-24;RS;290;364,1;VILA NOVA DO SUL;Ultrapassagem Indevida;Sem Vítimas;2;Céu Claro;Pleno dia;sábado;Colisão lateral mesmo sentido;Simples;0;0;-30.367632;-53.811005;Segura;Sul;1 Trimestre;ultrapassagem indevida;ultrapassagem indevida;ultrapassagem indevida;2;carga, súbito, chuva, mal, álcool, ingestão, indevida, ultrapassagem, condutor, dormindo;Condutor sob efeitos de substâncias
592835;2024.0;n;4.0;2024-04-09;RS;293;75;PIRATINI;Transitar na contramão;Com Vítimas Fatais;4;Céu Claro;Pleno dia;terça-feira;Colisão frontal;Simples;1;0;-31.67583782;-53.07442688;Perigosa;Sul;2 Trimestre;transitar contramão;transitar contramão;transitar contramão;4;pneu, desgast, avaria, excessivo, animai, andava, acostamento, pista, contramão, transitar;Manobra imprudente condutor
668115;2025.0;n;3.0;2025-03-18;SC;280;153,5;MAFRA;Ultrapassagem Indevida;Com Vítimas Feridas;6;Garoa/Chuvisco;Pleno dia;terça-feira;Colisão lateral sentido oposto;Simples;0;2;-26,23190811;-49,70103264;Perigosa;Sul;1 Trimestre;ultrapassagem indevida;ultrapassagem indevida;ultrapassagem indevida;2;carga, súbito, chuva, mal, álcool, ingestão, indevida, ultrapassagem, condutor, dormindo;Condutor sob efeitos de substâncias
602061;2024.0;n;5.0;2024-05-21;ES;101;285,3;CARIACICA;Ausência de reação do condutor;Sem Vítimas;2;Céu Claro;Plena Noite;terça-feira;Colisão traseira;Dupla;0;0;-20.25148171;-40.37270066;Segura;Sudeste;2 Trimestre;ausência reação condutor;ausência reação condutor;ausência reação condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
613384;2024.0;n;7.0;2024-07-10;PE;101;1,5;GOIANA;Demais falhas mecânicas ou elétricas;Sem Vítimas;1;Céu Claro;Plena Noite;quarta-feira;Incêndio;Dupla;0;0;-7.50897414;-34.98748949;Segura;Nordeste;3 Trimestre;demais falhas mecânicas elétricas;demais falhas mecânicas elétricas;demai falha mecânica elétrica;3;presença, acessar, outro, observar, mecânica, elétrica, via, demai, falha, veículo;Problema mecânico no veículo
595713;2024.0;n;4.0;2024-04-22;MT;174;125;MIRASSOL DOESTE;Acessar a via sem observar a presença dos outros veículos;Com Vítimas Feridas;5;Céu Claro;Pleno dia;segunda-feira;Colisão transversal;Simples;0;0;-15.81678972;-58.0834468;Segura;Centro-Oeste;2 Trimestre;acessar via observar presença outros veículos;acessar via observar presença outros veículos;acessar via observar presença outro veículo;3;presença, acessar, outro, observar, mecânica, elétrica, via, demai, falha, veículo;Problema mecânico no veículo
612016;2024.0;n;7.0;2024-07-04;MG;40;42;PARACATU;Acessar a via sem observar a presença dos outros veículos;Com Vítimas Feridas;2;Céu Claro;Anoitecer;quinta-feira;Tombamento;Simples;0;1;-17.223262;-46.86503;Perigosa;Sudeste;3 Trimestre;acessar via observar presença outros veículos;acessar via observar presença outros veículos;acessar via observar presença outro veículo;3;presença, acessar, outro, observar, mecânica, elétrica, via, demai, falha, veículo;Problema mecânico no veículo
609199;2024.0;n;6.0;2024-06-22;SC;282;478,9;VARGEAO;Transitar na contramão;Com Vítimas Fatais;2;Nublado;Plena Noite;sábado;Colisão frontal;Simples;1;0;-26.8831971;-52.1778083;Perigosa;Sul;2 Trimestre;transitar contramão;transitar contramão;transitar contramão;4;pneu, desgast, avaria, excessivo, animai, andava, acostamento, pista, contramão, transitar;Manobra imprudente condutor
